Brand,Model,2014,2013,2012,2011
PEUGEOT,107,"454,000","386,000","328,000","279,000"
PEUGEOT,3008,"982,000","835,000","710,000","604,000"
PEUGEOT,301,"595,900","507,000","431,000","366,000"
PEUGEOT,308,"779,000","662,000","563,000","479,000"
PEUGEOT,4007,"1,124,000","955,000","812,000","690,000"
PEUGEOT,408,"664,000","564,000","479,000","407,000"
PEUGEOT,508,"1,094,000","930,000","791,000","672,000"
RENAULT,Clio,"693,000","589,000","501,000","426,000"
RENAULT,Duster,"627,000","533,000","453,000","385,000"
RENAULT,Fluence,"736,600","626,000","532,000","452,000"
RENAULT,Koleos,"1,163,000","989,000","841,000","715,000"
RENAULT,Laguna,"1,396,000","1,187,000","1,009,000","858,000"
RENAULT,Latitude,"1,005,000","854,000","726,000","617,000"
RENAULT,Logan,"424,000","360,000","306,000","260,000"
RENAULT,Megane,"636,000","541,000","460,000","391,000"
RENAULT,Sandero,"434,000","369,000","314,000","267,000"
RENAULT,Scenic,"824,500","701,000","596,000","507,000"
RENAULT,Symbol,"549,000","467,000","397,000","337,000"
SKODA,Fabia,"549,000","467,000","397,000","337,000"
SKODA,Octavia,"776,000","660,000","561,000","477,000"
SKODA,Roomster,"654,000","556,000","473,000","402,000"
SKODA,Superb,"1,127,000","958,000","814,000","692,000"
SKODA,Yeti,"909,000","773,000","657,000","558,000"
SUZUKI,Grand Vitara,"1,079,000","917,000","779,000","662,000"
SUZUKI,Jimny,"785,000","667,000","567,000","482,000"
SUZUKI,Kizashi,"1,209,000","1,028,000","874,000","743,000"
SUZUKI,Splash,"515,500","438,000","372,000","316,000"
SUZUKI,Swift,"599,500","510,000","434,000","369,000"
SUZUKI,SX4,"739,000","628,000","534,000","454,000"
TOYOTA,Auris,"845,000","718,000","610,000","519,000"
TOYOTA,Avensis,"988,500","840,000","714,000","607,000"
TOYOTA,Camry,"1,074,000","913,000","776,000","660,000"
TOYOTA,Corolla,"748,000","636,000","541,000","460,000"
TOYOTA,Highlander,"1,920,000","1,632,000","1,387,000","1,179,000"
TOYOTA,Hilux,"1,356,500","1,153,000","980,000","833,000"
TOYOTA,Land Cruiser,"3,382,000","2,875,000","2,444,000","2,077,000"
TOYOTA,Prius,"1,395,000","1,186,000","1,008,000","857,000"
TOYOTA,Verso,"920,000","782,000","665,000","565,000"
VOLKSWAGEN,Amarok,"1,200,000","1,020,000","867,000","737,000"
VOLKSWAGEN,Golf,"796,900","677,000","575,000","489,000"
VOLKSWAGEN,Jetta,"803,000","683,000","581,000","494,000"
BMW,GRAN TURISMO,"2,640,000","2,244,000","1,907,000","1,621,000"
HONDA,CR-V,"1,299,000","1,104,000","938,000","797,000"
KIA,Cee'd,"719,900","612,000","520,000","442,000"
MAZDA,CX-5,"1,199,000","1,019,000","866,000","736,000"
MAZDA,CX-7,"1,334,000","1,134,000","964,000","819,000"
MAZDA,CX-9,"1,919,000","1,631,000","1,386,000","1,178,000"
MERCEDES-BENZ,A,"875,000","744,000","632,000","537,000"
MERCEDES-BENZ,B,"980,000","833,000","708,000","602,000"
MERCEDES-BENZ,C,"1,570,000","1,335,000","1,135,000","965,000"
MERCEDES-BENZ,CLA,"1,270,000","1,080,000","918,000","780,000"
MERCEDES-BENZ,CLS,"2,950,000","2,508,000","2,132,000","1,812,000"
MERCEDES-BENZ,E,"2,280,000","1,938,000","1,647,000","1,400,000"
MERCEDES-BENZ,GL,"3,470,000","2,950,000","2,508,000","2,132,000"
MERCEDES-BENZ,GLK,"1,870,000","1,590,000","1,352,000","1,149,000"
MERCEDES-BENZ,M,"3,070,000","2,610,000","2,219,000","1,886,000"
MERCEDES-BENZ,R,"2,750,000","2,338,000","1,987,000","1,689,000"
MERCEDES-BENZ,S,"4,100,000","3,485,000","2,962,000","2,518,000"
MERCEDES-BENZ,SLK,"2,490,000","2,117,000","1,799,000","1,529,000"
VOLKSWAGEN,Passat,"1,348,000","1,146,000","974,000","828,000"
VOLKSWAGEN,Phaeton,"3,466,000","2,946,000","2,504,000","2,128,000"
VOLKSWAGEN,Polo,"587,020","499,000","424,000","360,000"
VOLKSWAGEN,Scirocco,"1,082,000","920,000","782,000","665,000"
VOLKSWAGEN,Tiguan,"1,202,000","1,022,000","869,000","739,000"
VOLKSWAGEN,Touareg,"2,389,000","2,031,000","1,726,000","1,467,000"
VOLKSWAGEN,Touran,"1,043,000","887,000","754,000","641,000"
VOLVO,C30,"1,099,000","934,000","794,000","675,000"
VOLVO,S60,"1,259,000","1,070,000","910,000","774,000"
VOLVO,S80,"1,679,000","1,427,000","1,213,000","1,031,000"
VOLVO,V40,"1,359,000","1,155,000","982,000","835,000"
VOLVO,V60,"1,569,000","1,334,000","1,134,000","964,000"
VOLVO,XC60,"1,774,000","1,508,000","1,282,000","1,090,000"
VOLVO,XC70,"1,699,000","1,444,000","1,227,000","1,043,000"
VOLVO,XC90,"1,879,000","1,597,000","1,357,000","1,153,000"
